"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-11","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","21785","","","","0"
"2017-12","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","21253","","","","0"
"2018-01","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28472","","","","0"
"2018-02","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","30245","","","","0"
"2018-03","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","35122","","","","0"
"2018-04","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","38922","","","","0"
"2018-05","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","43597","","","","0"
"2018-06","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","44708","","","","0"
"2018-07","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","40117","","","","0"
"2018-08","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","33829","","","","0"
"2018-09","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","35388","","","","0"
"2018-10","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","37087","","","","0"
"2018-11","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","32807","","","","0"
"2018-12","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","32941","","","","0"
"2019-01","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","37329","","","","0"
"2019-02","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","39989","","","","0"
"2019-03","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","42011","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","42860","","","","0"
"2016-01","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7511","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10188","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8304","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7621","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8254","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","7563","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10098","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10607","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","10002","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","8513","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Disappearance, total","Tonnes","288","units ","0","v381847","1.1.6","12272","","","","0"
